e37e28b,path0171,7 minutes ago,Updated report and fixed spelling errors
52bf59b,path0171,2 hours ago,Added author section on pages and formatted on prettier
5905b50,path0171,2 hours ago,Update Website Implementation Report.md
ecf6caf,path0171,Fixed minor errors
c300f9d,path0171,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
04f7a4c,path0171,2 hours ago,Added Zac page annotations and linked other annotations
fe132d3,Saaim0013,2 hours ago,added description
4da19f9,path0171,3 hours ago,Updated Style Guide
e54e344,path0171,4 hours ago,Added Reflection
200de3a,HirunaR05,6 hours ago,annotated screenshots and descriptions done
b13547e,HirunaR05,7 hours ago,removing the diagram part
b7601ce,path0171,9 hours ago,Style Guide
1c2f0b3,path0171,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
5b7f63e,path0171,9 hours ago,deleted temp PHP
4ce9186,Saaim0013,9 hours ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
c554ec8,Saaim0013,9 hours ago,added profile page screenshot
64f01de,path0171,9 hours ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
f06a824,path0171,Fixed Pet Not Found Error
ec40353,Saaim0013,9 hours ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
5129484,Saaim0013,9 hours ago,added screenshot for adoption page
19f8d22,path0171,9 hours ago,Added PHP scripts and removed unused files
c6f91ab,HirunaR05,24 hours ago,back end implementation details
9d06780,HirunaR05,25 hours ago,Update Website Implementation Report.md
235e5e7,HirunaR05,31 hours ago,nothing changed
85d6312,path0171,2 days ago,Added Json database for pet selected
0ca0f91,HirunaR05,2 days ago,Pet selected page
5f5b284,Saaim0013,2 days ago,added my part for backend impl
b6ac36a,Saaim0013,4 days ago,added reflection
605a849,path0171,4 days ago,Implementation Report Structure
0304b7c,Saaim0013,10 days ago,changed profiel pic
f11a1a2,Saaim0013,10 days ago,Merge branch 'main' of https://github.com/path0171/Monday-9.30-THZS
6d2b7f5,path0171,10 days ago,Updated version numbers
3291909,path0171,10 days ago,Added author attribution to files
0c9a209,path0171,10 days ago,Fixed margin error
a5a268b,path0171,10 days ago,Browser Page Done
3b80dbf,path0171,10 days ago,Made it so name and email update based on sign up
a2df679,path0171,10 days ago,added sign out
2f4e67c,path0171,10 days ago,Fixed header JS
0afa11f,path0171,10 days ago,Fixed file path
1a6b1ed,path0171,10 days ago,Applied prettier files and added js for about_us
8ca8dc6,path0171,10 days ago,Updated log-in
